Year,State,Male_Electors,Female_Electors,Total_Electors,Male_Voters,Female_Voters,Total_Voters
2004,MANIPUR,353619,387099,740718,210043,206333,416376
2004,MANIPUR,392435,403357,795792,312483,306501,618984
2004,MEGHALAYA,391114,393948,785062,182726,185010,367736
2004,MEGHALAYA,257540,246772,504312,119387,192115,311502
2004,MIZORAM,273454,276505,549959,175372,170000,345372
2004,NAGALAND,547114,494319,1041433,505682,446002,951684
2004,ORISSA,493875,496669,990544,362882,332933,695815
2004,ORISSA,681353,649053,1330406,488911,459539,948450
2004,ORISSA,689867,660888,1350755,462336,469654,931990
2004,ORISSA,663807,614951,1278758,458274,417794,876068
2004,ORISSA,617076,569758,1186834,426595,409599,836194
2004,ORISSA,656489,579739,1236228,448827,371255,820082
2004,ORISSA,673745,627751,1301496,480661,447356,928017
2004,ORISSA,665732,622302,1288034,468614,420293,888907
2004,ORISSA,810032,681504,1491536,475364,378303,853667
2004,ORISSA,654321,600621,1254942,371699,310899,682598
2004,ORISSA,598093,597298,1195391,378963,340890,719853
2004,ORISSA,554408,585182,1139590,383725,351819,735544
2004,ORISSA,575221,585938,1161159,410974,370372,781346
2004,ORISSA,570384,562296,1132680,410625,343272,753897
2004,ORISSA,598507,585224,1183731,427845,359394,787239
2004,ORISSA,561952,537823,1099775,390140,338232,728372
2004,ORISSA,647990,594871,1242861,453838,357836,811674
2004,ORISSA,635009,584878,1219887,450097,373087,823184
2004,ORISSA,614835,559952,1174787,432718,357461,790179
2004,ORISSA,630395,578728,1209123,393330,338972,732302
2004,ORISSA,598600,584872,1183472,434174,380445,814619
2004,PUNJAB,617250,593010,1210260,399704,386109,785813
2004,PUNJAB,672533,620369,1292902,386886,324922,711808
2004,PUNJAB,602797,570634,1173431,380570,336736,717306
2004,PUNJAB,635041,586402,1221443,384889,357586,742475
2004,PUNJAB,608376,573131,1181507,366809,355724,722533
2004,PUNJAB,584689,552734,1137423,332565,323097,655662
2004,PUNJAB,710102,635142,1345244,430781,359425,790206
2004,PUNJAB,752022,675081,1427103,477673,397298,874971
2004,PUNJAB,825291,735177,1560468,474126,395796,869922
2004,PUNJAB,637300,577185,1214485,451190,386406,837596
2004,PUNJAB,675522,610456,1285978,408142,355022,763164
2004,PUNJAB,658013,604921,1262934,476904,416524,893428
2004,PUNJAB,673358,628863,1302221,467622,400013,867635
2004,RAJASTHAN,713696,624161,1337857,409025,311426,720451
2004,RAJASTHAN,1017237,883449,1900686,625876,449183,1075059
2004,RAJASTHAN,715459,656362,1371821,434425,398130,832555
2004,RAJASTHAN,716648,653954,1370602,372933,306681,679614
2004,RAJASTHAN,773748,702596,1476344,418532,359421,777953
2004,RAJASTHAN,1011448,885408,1896856,513418,366858,880276
2004,RAJASTHAN,770858,691894,1462752,428711,286902,715613
2004,RAJASTHAN,665810,596812,1262622,332251,208200,540451
2004,RAJASTHAN,637177,552118,1189295,364175,211721,575896
2004,RAJASTHAN,653647,543472,1197119,335608,153848,489456
2004,RAJASTHAN,719512,621292,1340804,431432,233057,664489
2004,RAJASTHAN,616207,587596,1203803,297238,231900,529138
2004,RAJASTHAN,658013,620398,1278411,340014,253274,593288
2004,RAJASTHAN,692170,634903,1327073,353474,225266,578740
2004,RAJASTHAN,614634,573942,1188576,350134,217038,567172
2004,RAJASTHAN,692092,681716,1373808,350770,314606,665376
2004,RAJASTHAN,649803,629534,1279337,342529,286239,628768
2004,RAJASTHAN,692098,671239,1363337,407372,350794,758166
2004,RAJASTHAN,709904,676046,1385950,392555,278440,670995
2004,RAJASTHAN,628228,605475,1233703,336437,282528,618965
2004,RAJASTHAN,611530,584207,1195737,298582,243341,541923
2004,RAJASTHAN,745665,682919,1428584,385082,269675,654757
2004,RAJASTHAN,876048,763140,1639188,615562,431295,1046857
2004,RAJASTHAN,823789,748261,1572050,504267,359311,863578
2004,RAJASTHAN,743607,692463,1436070,368683,261435,630118
2004,SIKKIM,145738,136199,281937,112404,102890,215294
2004,TAMIL NADU,1015695,985171,2000866,509908,405878,915786
2004,TAMIL NADU,523077,522183,1045260,281477,231307,512784
2004,TAMIL NADU,977555,972349,1949904,516444,418492,934936
2004,TAMIL NADU,696342,727219,1423561,450809,391236,842045
2004,TAMIL NADU,571050,596686,1167736,400709,356697,757406
2004,TAMIL NADU,567485,592774,1160259,399949,373580,773529
2004,TAMIL NADU,595130,625324,1220454,385798,360008,745806
2004,TAMIL NADU,593471,620191,1213662,395177,379210,774387
2004,TAMIL NADU,552653,575971,1128624,359264,342395,701659
2004,TAMIL NADU,573307,585631,1158938,384951,342823,727774
2004,TAMIL NADU,594174,612702,1206876,395416,362762,758178
2004,TAMIL NADU,552578,572909,1125487,391650,350275,741925
2004,TAMIL NADU,645026,650495,1295521,388897,318907,707804
2004,TAMIL NADU,622735,629845,1252580,392971,344773,737744
2004,TAMIL NADU,551892,580534,1132426,361613,331401,693014
2004,TAMIL NADU,617226,633915,1251141,396501,343751,740252
2004,TAMIL NADU,711672,731525,1443197,466662,395521,862183
2004,TAMIL NADU,649304,668198,1317502,418799,359909,778708
2004,TAMIL NADU,521404,530946,1052350,367747,309776,677523
2004,TAMIL NADU,796722,787501,1584223,484479,393209,877688
2004,TAMIL NADU,511106,528173,1039279,344558,296600,641158
2004,TAMIL NADU,533394,555537,1088931,366076,327853,693929
2004,TAMIL NADU,552499,584814,1137313,354967,333679,688646
2004,TAMIL NADU,669725,674298,1344023,392812,345324,738136
2004,TAMIL NADU,514655,542198,1056853,356085,341688,697773
2004,TAMIL NADU,529000,540359,1069359,378395,364405,742800
2004,TAMIL NADU,582244,610010,1192254,372058,335772,707830
2004,TAMIL NADU,479747,519761,999508,348909,357055,705964
2004,TAMIL NADU,506566,515452,1022018,367280,326271,693551
2004,TAMIL NADU,517378,531626,1049004,385472,364011,749483
2004,TAMIL NADU,504188,526591,1030779,364664,342224,706888
2004,TAMIL NADU,602894,632055,1234949,415538,401508,817046
2004,TAMIL NADU,523314,560228,1083542,312902,351692,664594
2004,TAMIL NADU,565257,582469,1147726,329976,342471,672447
2004,TAMIL NADU,638258,675336,1313594,425195,402887,828082
2004,TAMIL NADU,529102,557188,1086290,331483,299801,631284
2004,TAMIL NADU,529115,555593,1084708,356245,353443,709688
2004,TAMIL NADU,495885,535675,1031560,313665,315028,628693
2004,TAMIL NADU,556476,553538,1110014,341022,329175,670197
2004,TRIPURA,539530,502066,1041596,377674,321723,699397
2004,TRIPURA,483838,452788,936626,336817,282729,619546
2004,UTTAR PRADESH,729667,625770,1355437,411357,294372,705729
2004,UTTAR PRADESH,721579,620962,1342541,504199,380956,885155
2004,UTTAR PRADESH,734666,618600,1353266,415852,239321,655173
2004,UTTAR PRADESH,758706,661892,1420598,484054,327044,811098
2004,UTTAR PRADESH,678959,570058,1249017,461748,297634,759382
2004,UTTAR PRADESH,661174,539261,1200435,379061,210945,590006
2004,UTTAR PRADESH,639436,506429,1145865,348492,187966,536458
2004,UTTAR PRADESH,849295,706729,1556024,500559,322280,822839
2004,UTTAR PRADESH,689992,595927,1285919,425192,251903,677095
2004,UTTAR PRADESH,645811,595172,1240983,416477,217894,634371
2004,UTTAR PRADESH,790708,646855,1437563,461605,245101,706706
2004,UTTAR PRADESH,702218,555785,1258003,387839,191767,579606
2004,UTTAR PRADESH,694062,598623,1292685,388061,208507,596568
2004,UTTAR PRADESH,684169,549938,1234107,362588,189111,551699
2004,UTTAR PRADESH,680329,532931,1213260,350047,172016,522063
2004,UTTAR PRADESH,884529,755393,1639922,360432,218069,578501
2004,UTTAR PRADESH,690420,587956,1278376,358817,213031,571848
2004,UTTAR PRADESH,709651,593552,1303203,346699,200815,547514
2004,UTTAR PRADESH,703114,626055,1329169,367411,276149,643560
2004,UTTAR PRADESH,712707,619509,1332216,329732,242934,572666
2004,UTTAR PRADESH,699957,625034,1324991,349746,239813,589559
2004,UTTAR PRADESH,792361,672912,1465273,419120,301882,721002
2004,UTTAR PRADESH,777470,668618,1446088,420128,321415,741543
2004,UTTAR PRADESH,717092,609441,1326533,398915,287563,686478
2004,UTTAR PRADESH,653172,561821,1214993,345807,194412,540219
2004,UTTAR PRADESH,694193,578614,1272807,353271,216667,569938
2004,UTTAR PRADESH,775608,648038,1423646,365700,183835,549535
2004,UTTAR PRADESH,723229,592777,1316006,411512,286594,698106
